distance_numeric,is_winner,is_top3,days_since_last_race,horse_name_decay_form_90,horse_rank_rolling_mean_10,horse_rank_rolling_std_10,horse_top3_rate_rolling_mean_5,horse_top3_rate_rolling_std_5,race_class_score,track_dist_avg_pos,prev_perf_index,horse_perf_avg_rolling_mean_5,horse_perf_avg_rolling_std_5,track_Ashburton,track_Awapuni,track_Ellerslie,track_Hastings,track_Hawera,track_Matamata,track_New Plymouth,track_Otaki,track_Pukekohe,track_Riccarton,track_Riccarton Synth,track_Rotorua,track_Ruakaka,track_Tauherinikau,track_Taupo,track_Tauranga,track_Te Aroha,track_Te Rapa,track_Trentham,track_Wanganui,track_Waverley,track_Wingatui,track_Woodville,race_type_2yo,race_type_2yoM,race_type_2yof,race_type_3yo,race_type_3yoM,race_type_3yof,race_type_Hrd,race_type_JmpF,race_type_Mdn,race_type_MdnF&M,race_type_MdnSpc,race_type_Open,race_type_R 65,race_type_R 65X,race_type_R 75,race_type_R 75X,race_type_R 85,race_type_WFA,race_type_WFAf&m,horse_name,race_id,position_numeric,relevance_score,group_id
1200.0,1,1,25.0,0.0,6.0,2.512395057075209,0.0,0.3906761888457202,0,1.1428571428571428,0.0,0.0,0.0010978682557413,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Wild Night,20220921_Matamata_3yoM_1200.0,1.0,4.0,1
1200.0,0,1,18.0,0.0,3.0,1.4142135623730951,0.5,0.7071067811865476,0,1.1428571428571428,0.0008333333333333,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Romancing The Moon,20220921_Matamata_MdnF&M_1200.0,2.0,3.0,1
1550.0,1,1,14.0,0.3663162338696079,1.5,0.7071067811865476,1.0,0.0,3,1.5,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Mustang Valley,20220924_Awapuni_Open_1550.0,1.0,4.0,2
1550.0,0,1,20.0,0.0,5.0,2.512395057075209,0.0,0.3906761888457202,3,1.5,0.0,0.0,0.0010978682557413,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Aromatic,20220924_Awapuni_Open_1550.0,2.0,3.0,2
1600.0,0,1,365.0,0.0,2.4885496183206106,2.512395057075209,0.8129770992366412,0.3906761888457202,0,3.0,0.0,0.0008560731104752,0.0010978682557413,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Aquacade,20220924_Ruakaka_R 75_1600.0,3.0,2.0,1
2000.0,0,1,14.0,0.7165313105737893,2.333333333333333,1.5275252316519468,0.6666666666666666,0.5773502691896258,0,2.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Campionessa,20221001_Riccarton_Open_2000.0,2.0,3.0,1
1200.0,1,1,365.0,0.0,2.4885496183206106,2.512395057075209,0.8129770992366412,0.3906761888457202,0,1.0,0.0,0.0008560731104752,0.0010978682557413,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Buoyant,20221001_Riccarton_R 75_1200.0,1.0,4.0,1
1400.0,1,1,28.0,0.634095594745432,1.5,0.7071067811865476,1.0,0.0,4,1.0,0.0008333333333333,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Pier,20221008_Matamata_3yo_1400.0,1.0,4.0,1
1400.0,1,1,17.0,0.3389047890027251,2.6666666666666665,1.1547005383792517,0.6666666666666666,0.5773502691896258,0,1.0,0.0,0.0002777777777777,0.0004811252243246,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Romancing The Moon,20221008_Matamata_Mdn_1400.0,1.0,4.0,1
1400.0,1,1,17.0,0.0,3.5,3.5355339059327378,0.5,0.7071067811865476,0,1.0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Wild Night,20221008_Matamata_R 65_1400.0,1.0,4.0,1
1600.0,0,1,14.0,1.046177010375744,1.3333333333333333,0.5773502691896257,1.0,0.0,5,3.75,0.0019354838709677,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Mustang Valley,20221008_Matamata_WFA_1600.0,2.0,3.0,2
1600.0,0,1,20.0,0.1914541223635437,2.5,0.7071067811865476,1.0,0.0,5,3.75,0.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Prise De Fer,20221008_Matamata_WFA_1600.0,3.0,2.0,2
1200.0,0,1,14.0,0.0,1.0,2.512395057075209,1.0,0.3906761888457202,0,3.0,0.0,0.0,0.0010978682557413,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Buoyant,20221015_Ashburton_Open_1200.0,3.0,2.0,1
2040.0,1,1,7.0,1.7597811479233587,1.5,0.5773502691896257,1.0,0.0,5,2.75,0.0015625,0.0004838709677419,0.0009677419354838,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Mustang Valley,20221015_Hastings_WFA_2040.0,1.0,4.0,3
